"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCEUS","198109","1.04","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198110","1.109","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198111","1.508","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198112","1.871","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198113","13.151","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198201","1.785","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198202","1.246","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198203","1.012","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198204","1.264","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198205","0.84","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198206","0.653","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198207","1.129","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198208","1.204","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198209","1.145","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198210","1.186","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198211","1.519","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198212","1.83","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198213","14.813","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198301","1.605","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198302","1.403","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198303","1","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198304","1.392","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198305","0.841","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198306","0.666","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198307","1.087","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198308","1.028","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198309","1.365","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198310","1.45","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198311","1.534","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198312","1.964","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198313","15.336","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198401","1.838","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198402","1.609","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198403","1.147","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198404","1.632","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198405","0.985","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198406","0.779","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198407","1.222","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198408","1.154","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198409","1.533","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198410","1.218","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198411","1.289","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198412","1.649","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198413","16.054","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198501","1.392","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198502","1.218","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198503","0.868","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198504","1.281","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198505","0.773","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198506","0.611","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198507","0.877","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
