city,latitude,longitude,year,month,day,temperature
New York,40.6943,-73.9249,2018,6,3,14.85
New York,40.6943,-73.9249,2018,6,4,18.43
New York,40.6943,-73.9249,2018,6,5,17.67
New York,40.6943,-73.9249,2018,6,6,17.18
New York,40.6943,-73.9249,2018,6,7,19.43
New York,40.6943,-73.9249,2018,6,8,22.25
New York,40.6943,-73.9249,2018,6,9,19.98
New York,40.6943,-73.9249,2018,6,10,17.31
New York,40.6943,-73.9249,2018,6,11,17.62
New York,40.6943,-73.9249,2018,6,12,19.78
New York,40.6943,-73.9249,2018,6,13,23.74
New York,40.6943,-73.9249,2018,6,14,20.99
New York,40.6943,-73.9249,2018,6,15,21.56
New York,40.6943,-73.9249,2018,6,16,23.6
New York,40.6943,-73.9249,2018,6,17,25.11
New York,40.6943,-73.9249,2018,6,18,26.64
New York,40.6943,-73.9249,2018,6,19,23.43
New York,40.6943,-73.9249,2018,6,20,23.22
New York,40.6943,-73.9249,2018,6,21,21.5
New York,40.6943,-73.9249,2018,6,22,18.77
New York,40.6943,-73.9249,2018,6,23,22.43
New York,40.6943,-73.9249,2018,6,24,23.41
New York,40.6943,-73.9249,2018,6,25,20.95
New York,40.6943,-73.9249,2018,6,26,21
New York,40.6943,-73.9249,2018,6,27,23.57
New York,40.6943,-73.9249,2018,6,28,25.99
New York,40.6943,-73.9249,2018,6,29,27.23
New York,40.6943,-73.9249,2018,6,30,28.72
New York,40.6943,-73.9249,2018,7,1,28.63
New York,40.6943,-73.9249,2018,7,2,27.5
New York,40.6943,-73.9249,2018,7,3,26.71
New York,40.6943,-73.9249,2018,7,4,27.01
New York,40.6943,-73.9249,2018,7,5,26.52
New York,40.6943,-73.9249,2018,7,6,21.82
New York,40.6943,-73.9249,2018,7,7,21.64
New York,40.6943,-73.9249,2018,7,8,23.47
New York,40.6943,-73.9249,2018,7,9,25.78
New York,40.6943,-73.9249,2018,7,10,26.71
New York,40.6943,-73.9249,2018,7,11,24.04
New York,40.6943,-73.9249,2018,7,12,23.95
New York,40.6943,-73.9249,2018,7,13,25.02
New York,40.6943,-73.9249,2018,7,14,25.35
New York,40.6943,-73.9249,2018,7,15,26.98
New York,40.6943,-73.9249,2018,7,16,26.8
New York,40.6943,-73.9249,2018,7,17,24.52
New York,40.6943,-73.9249,2018,7,18,23.3
New York,40.6943,-73.9249,2018,7,19,23.14
New York,40.6943,-73.9249,2018,7,20,21.9
New York,40.6943,-73.9249,2018,7,21,23.57
New York,40.6943,-73.9249,2018,7,22,25.23
New York,40.6943,-73.9249,2018,7,23,25.95
New York,40.6943,-73.9249,2018,7,24,25.02
New York,40.6943,-73.9249,2018,7,25,25.08
New York,40.6943,-73.9249,2018,7,26,26.11
New York,40.6943,-73.9249,2018,7,27,24.46
New York,40.6943,-73.9249,2018,7,28,24.75
